course,branch,category,cutoff_rank
ENGG,CS Computers,1G,90885
ENGG,EC Electronics,1G,96035
ENGG,IE Info.Science,1G,0365
ENGG,Intel.),1G,69307
ENGG,CS Computers,1G,62119
ENGG,Security,1G,79389
ENGG,Data Sc.,1G,80572
ENGG,EC Electronics,1G,92272
ENGG,IE Info.Science,1G,70964
ENGG,Intelligence,1G,72260
ENGG,CS Computers,1G,61078
ENGG,EC Electronics,1G,95551
ENGG,Design),1G,1157
ENGG,IE Info.Science,1G,84496
ENGG,"AD ArtificialIntel, Data Sc",1G,87791
ENGG,Intelligence,1G,85985
ENGG,CE Civil,1G,8252
ENGG,CS Computers,1G,78118
ENGG,Security,1G,88856
ENGG,EC Electronics,1G,87851
ENGG,ME Mechanical,1G,9840
ENGG,Intelligence,1G,76872
ENGG,CS Computers,1G,43263
ENGG,EC Electronics,1G,58889
ENGG,EE Electrical,1G,90888
ENGG,IE Info.Science,1G,65298
ENGG,Intelligence,1G,25263
ENGG,CE Civil,1G,6233
ENGG,CS Computers,1G,24921
ENGG,Data Sc.,1G,28167
ENGG,EC Electronics,1G,37129
ENGG,EE Electrical,1G,81659
ENGG,IE Info.Science,1G,28739
ENGG,CS Computers,1G,93844
ENGG,Data Sc.,1G,0285
ENGG,EC Electronics,1G,0011
ENGG,ME Mechanical,1G,8014
ENGG,"CA CS (AI, MachineLearning)",1G,21074
ENGG,CE Civil,1G,2596
ENGG,CS Computers,1G,19401
ENGG,Security,1G,23416
ENGG,Data Sc.,1G,22100
ENGG,EC Electronics,1G,20856
ENGG,EE Electrical,1G,45734
ENGG,ME Mechanical,1G,89573
ENGG,EC Electronics,1G,1778
ENGG,CS Computers,1G,0073
ENGG,EC Electronics,1G,3347
ENGG,IE Info.Science,1G,1818
ENGG,ME Mechanical,1G,1719
ENGG,Intelligence,1G,0007
ENGG,CS Computers,1G,84159
ENGG,Data Sc.,1G,98775
ENGG,EC Electronics,1G,2853
ENGG,Intelligence,1G,60081
ENGG,CS Computers,1G,49333
ENGG,EC Electronics,1G,61578
ENGG,IE Info.Science,1G,56675
ENGG,ME Mechanical,1G,3628
ENGG,BM Bio Medical,1G,3804
ENGG,CS Computers,1G,71015
ENGG,EE Electrical,1G,0950
ENGG,ME Mechanical,1G,9100
ENGG,Intelligence,1G,18043
ENGG,Bus Sys.,1G,18636
ENGG,CE Civil,1G,88208
ENGG,CS Computers,1G,16365
ENGG,EC Electronics,1G,17385
ENGG,EE Electrical,1G,26851
ENGG,Intelligence,1G,92038
ENGG,CS Computers,1G,93720
ENGG,IE Info.Science,1G,95459
ENGG,ME Mechanical,1G,0565
ENGG,BB B Tech in EC,1G,89193
ENGG,BK B Tech in EN,1G,4353
ENGG,BW B Tech in CS,1G,34954
ENGG,Intelligence,1G,35597
ENGG,CS Computers,1G,26572
ENGG,Data Sc.,1G,39562
ENGG,EC Electronics,1G,46947
ENGG,ME Mechanical,1G,5717
ENGG,"AD ArtificialIntel, Data Sc",1G,0766
ENGG,Intelligence,1G,0687
ENGG,CE Civil,1G,0291
ENGG,CS Computers,1G,0045
ENGG,EC Electronics,1G,1576
ENGG,IE Info.Science,1G,1517
ENGG,ZU CYBER SECURITY,1G,1946
ENGG,CE Civil,1G,8762
ENGG,CS Computers,1G,75982
ENGG,EC Electronics,1G,2735
ENGG,EE Electrical,1G,6295
ENGG,"AD ArtificialIntel, Data Sc",1G,39548
ENGG,CS Computers,1G,29153
ENGG,EC Electronics,1G,49209
ENGG,EE Electrical,1G,58306
ENGG,IE Info.Science,1G,32572
ENGG,CS Computers,1G,78955
ENGG,EC Electronics,1G,83984
ENGG,EE Electrical,1G,4022
ENGG,IE Info.Science,1G,0178
ENGG,"CA CS (AI, MachineLearning)",1G,76800
ENGG,CS Computers,1G,69653
ENGG,EC Electronics,1G,83761
ENGG,EE Electrical,1G,93852
ENGG,ME Mechanical,1G,7131
ENGG,"CA CS (AI, MachineLearning)",1G,2419
ENGG,CS Computers,1G,90639
ENGG,Data Sc.,1G,1884
ENGG,EC Electronics,1G,3404
ENGG,IE Info.Science,1G,1564
ENGG,Intelligence,1G,94222
ENGG,CE Civil,1G,0764
ENGG,CS Computers,1G,81474
ENGG,Robot.,1G,2002
ENGG,AM B Tech in AM,1G,11128
ENGG,BB B Tech in EC,1G,12324
ENGG,BW B Tech in CS,1G,11207
ENGG,CE Civil,1G,1231
ENGG,CS Computers,1G,93778
ENGG,EC Electronics,1G,0912
ENGG,IE Info.Science,1G,97639
ENGG,"AD ArtificialIntel, Data Sc",1G,78224
ENGG,AE Aeronaut.Engg,1G,90967
ENGG,Intelligence,1G,79070
ENGG,Bus Sys.,1G,99275
ENGG,and Design,1G,1736
ENGG,CS Computers,1G,75286
ENGG,EC Electronics,1G,86607
ENGG,Engineering,1G,96502
ENGG,Intelligence,1G,44727
ENGG,and Design,1G,62782
ENGG,CS Computers,1G,44572
ENGG,EC Electronics,1G,58755
ENGG,EE Electrical,1G,81847
ENGG,"IC CS-IoT, CyberSecurity",1G,73053
ENGG,IE Info.Science,1G,54163
ENGG,Automation,1G,0825
ENGG,AE Aeronaut.Engg,1G,2005
ENGG,CE Civil,1G,2141
ENGG,CS Computers,1G,1322
ENGG,EC Electronics,1G,2378
ENGG,IE Info.Science,1G,2101
ENGG,Intelligence,1G,80897
ENGG,CS Computers,1G,76824
ENGG,EC Electronics,1G,94284
ENGG,"IC CS-IoT, CyberSecurity",1G,0306
ENGG,IE Info.Science,1G,80696
ENGG,Intelligence,1G,33121
ENGG,CE Civil,1G,7645
ENGG,CS Computers,1G,32855
ENGG,Data Sc.,1G,32828
ENGG,EC Electronics,1G,48494
ENGG,EE Electrical,1G,79402
ENGG,"IC CS-IoT, CyberSecurity",1G,35454
ENGG,IE Info.Science,1G,34713
ENGG,ME Mechanical,1G,6083
ENGG,Engineering,1G,0686
ENGG,CS Computers,1G,57447
ENGG,Data Sc.,1G,94840
ENGG,EC Electronics,1G,66288
ENGG,EE Electrical,1G,3021
ENGG,IE Info.Science,1G,62499
ENGG,Intelligence,1G,48888
ENGG,"CA CS (AI, MachineLearning)",1G,44034
ENGG,CS Computers,1G,41749
ENGG,EC Electronics,1G,53421
ENGG,"IC CS-IoT, CyberSecurity",1G,53970
ENGG,IE Info.Science,1G,47083
ENGG,ME Mechanical,1G,6232
ENGG,MT Mechatronics,1G,4036
ENGG,RI Robotics and AI,1G,69774
ENGG,"AD ArtificialIntel, Data Sc",1G,79651
ENGG,CS Computers,1G,63422
ENGG,EC Electronics,1G,91723
ENGG,EE Electrical,1G,2670
ENGG,IE Info.Science,1G,77780
ENGG,"AD ArtificialIntel, Data Sc",1G,89317
ENGG,Intelligence,1G,90809
ENGG,CS Computers,1G,72511
ENGG,EC Electronics,1G,0629
ENGG,"IC CS-IoT, CyberSecurity",1G,0022
ENGG,IE Info.Science,1G,99046
ENGG,CE Civil,1G,4761
ENGG,CS Computers,1G,67229
ENGG,EC Electronics,1G,1562
ENGG,ME Mechanical,1G,6723
ENGG,Intelligence,1G,70684
ENGG,CE Civil,1G,2878
ENGG,CS Computers,1G,50475
ENGG,EC Electronics,1G,67748
ENGG,ME Mechanical,1G,5854
ENGG,CE Civil,1G,5468
ENGG,CS Computers,1G,61099
ENGG,EC Electronics,1G,0593
ENGG,ME Mechanical,1G,8670
ENGG,CE Civil,1G,7497
ENGG,CS Computers,1G,68674
ENGG,EC Electronics,1G,97425
ENGG,"MM Mechanical,Smart Manf.",1G,0747
ENGG,Bus Sys.,1G,58667
ENGG,CE Civil,1G,4883
