course,branch,category,cutoff_rank
ENGG,EC Electronics,2AH,68326
ENGG,IE Info.Science,2AH,51708
ENGG,Intelligence,2AH,21095
ENGG,CS Computers,2AH,18558
ENGG,Data Sc.,2AH,23078
ENGG,EC Electronics,2AH,31422
ENGG,CS Computers,2AH,70552
ENGG,IE Info.Science,2AH,112923
ENGG,CS Computers,2AH,81796
ENGG,EC Electronics,2AH,123012
ENGG,"CA CS (AI, MachineLearning)",2AH,63813
ENGG,CS Computers,2AH,39911
ENGG,EC Electronics,2AH,62869
ENGG,IE Info.Science,2AH,56518
ENGG,"AD ArtificialIntel, Data Sc",2AH,33578
ENGG,"CA CS (AI, MachineLearning)",2AH,35738
ENGG,CS Computers,2AH,30683
ENGG,EC Electronics,2AH,42276
ENGG,IE Info.Science,2AH,37984
ENGG,"CA CS (AI, MachineLearning)",2AH,79001
ENGG,CS Computers,2AH,64610
ENGG,EC Electronics,2AH,10925
ENGG,AE Aeronaut.Engg,2AH,47249
ENGG,CS Computers,2AH,14183
ENGG,EC Electronics,2AH,22685
ENGG,IE Info.Science,2AH,17559
ENGG,CE Civil,2AH,19982
ENGG,CS Computers,2AH,55103
ENGG,EC Electronics,2AH,88685
ENGG,IE Info.Science,2AH,69200
ENGG,ME Mechanical,2AH,174045
ENGG,CS Computers,2AH,20789
ENGG,EC Electronics,2AH,23973
ENGG,"CA CS (AI, MachineLearning)",2AH,64385
ENGG,CS Computers,2AH,112916
ENGG,Data Sc.,2AH,75085
ENGG,EC Electronics,2AH,59348
ENGG,ENG(ART.INT),2AH,71581
ENGG,Intelligence,2AH,119679
ENGG,CS Computers,2AH,103901
ENGG,IE Info.Science,2AH,104911
ENGG,CS Computers,2AH,69720
ENGG,EC Electronics,2AH,98696
ENGG,IE Info.Science,2AH,105408
ENGG,CS Computers,2AH,78262
ENGG,Design),2AH,140787
ENGG,CS Computers,2AH,82387
ENGG,EC Electronics,2AH,115195
ENGG,CS Computers,2AH,50961
ENGG,EC Electronics,2AH,66835
ENGG,CS Computers,2AH,25498
ENGG,EC Electronics,2AH,36449
ENGG,IE Info.Science,2AH,34072
ENGG,ME Mechanical,2AH,19419
ENGG,"CA CS (AI, MachineLearning)",2AH,11192
ENGG,CS Computers,2AH,10302
ENGG,"CA CS (AI, MachineLearning)",2AH,21573
ENGG,CE Civil,2AH,13971
ENGG,CS Computers,2AH,19941
ENGG,Data Sc.,2AH,21897
ENGG,EC Electronics,2AH,25453
ENGG,EE Electrical,2AH,49014
ENGG,CS Computers,2AH,96441
ENGG,IE Info.Science,2AH,13309
ENGG,CS Computers,2AH,12296
ENGG,Intelligence,2AH,93660
ENGG,CS Computers,2AH,78593
